HOST_ID,APARTMENT,HOUSE,CABIN,CONDOMINIUM,CAMPERRV,BUNGALOW,TOWNHOUSE,BOAT,BED_BREAKFAST,DORM,TREEHOUSE,YURT,CHALET,TENT,LOFT,OTHER
23880457,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946910,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15938400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19310498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34665595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165390,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2744697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2066223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22969709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7290828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35097157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6137030,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24017361,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22100785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43818412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35804562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24087447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1252862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8539521,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5072241,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5570496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9560339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26130164,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
